WDPAID,Site,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unknown,Average,Source,Notes
555581085,Leighton Moss,,,,,,,,,,,,,,,,,,,,,,,78456,78456,"Sheil, A., Rayment, G., and Burton, G., (2002)",Camera
183421,Llanymynech & Llynclys Hills,,,,,,,,,,,,,,,,,,,*,*,*,,,*,*,
136122,Loch Fleet,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
,Loch Garten,,,,,,,,,,,,,,,,,*,*,*,*,*,*,,*,*,Camera
555581086,Loch Gruinart & Ardnave,,,,,,,,,11000,,,,,,,,,,,,,,,11000,"Burton, G., pers. comm. In Balmford et al., (2015)",
1469,Loch Leven,,,,,,,,,,,,,,,,,,,,,,,*,*,*,"SNH area only, mean added to RSPB area"
1469,Loch Leven,,,,,,,,,,,,,,,,,*,*,*,*,*,,,*,*,"RSPB area only, mean added to SNH area"
11052,Loch Lomond,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
555581036,Loch Of Kinnordy,,,,,,,,,,,,,,,,,,"8,055","8,540",,,,,"8,298",https://www.visitscotland.org/binaries/content/assets/dot-org/pdf/research-papers-2/wildlife-topic-paper-2017.pdf,
135765,Loch of Strathbeg,,,,,,,,,,,,,10800,,,,,,,,,,,10800,https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
555581037,Loch Of Strathbeg,,,,,,,,,,,,,10800,,,,,,,,,,,10800,https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
555624695,Loch of the Lowes,,,,,,,,,,,,,17382,,,,,,,,,,,17382,https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
555624695,Loch of the Lowes,,,,,,,,,,,,,,,,,,20447,21621,,,,,21034,https://www.visitscotland.org/binaries/content/assets/dot-org/pdf/research-papers-2/wildlife-topic-paper-2017.pdf,
555580988,Lochwinnoch,21825,25948,25431,5755,34883,,40781,40336,34110,,,,,,,,,,,,,,,28634,"Burton, G., pers. comm. In Balmford et al., (2015)",
555580988,Lochwinnoch,,,,,,,,,,,,,,,,,*,*,*,*,*,,,*,*,
138307,Ludham - Potter Heigham Marshes,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
10987,Lullington Heath,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
555581039,Marshside,11307,11290,4493,6991,13099,,12693,25000,25000,,,,,,,,,,,,,,,13734,"Burton, G., pers. comm. In Balmford et al., (2015)",
10988,Martin Down,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
137515,"Martin Mere, Burscough",,,,,,,,,,,,,,,,,,,,,*,,,*,*,
555581089,Mersehead,,,,,,,24620,27010,27110,,,,,,,,,,,,,,,26247,"Burton, G., pers. comm. In Balmford et al., (2015)",
183409,Merthyr Mawr Warren,,,,,,,,,,,,,,,,100000,,,,,,,,100000,"Hellawell, T., (NRW), pers. comm., (2019)",
169015,Mid Yare,9134,10433,4612,3790,4263,,10452,10876,13077,,,,,,,,,,,,,,,8330,"Burton, G., pers. comm. In Balmford et al., (2015)","NE area only, mean added to RSPB area."
169015,Mid Yare,,,,,,,,,,,,,,,,,,,,,,,*,*,*,"RSPB area only, mean added to NE area."
555581090,Mid Yare Valley,9134,10433,4612,3790,4263,,10452,10876,13077,,,,,,,,,,,,,,,8330,"Burton, G., pers. comm. In Balmford et al., (2015)","NE area only, mean added to RSPB area."
555581090,Mid Yare Valley,,,,,,,,,,,,,,,,,,,,,,,*,*,*,"RSPB area only, mean added to NE area."
555581091,Minsmere,,,,,,,,,,,,,,,,,,,,,,,66999,66999,"Sheil, A., Rayment, G., and Burton, G., (2002)",Camera
555581091,Minsmere,68247,69371,57341,64300,69625,,88222,91944,109790,,,,,,,,,,,,,,,77355,"Burton, G., pers. comm. In Balmford et al., (2015)",Camera
555581091,Minsmere,,,,,,,,,,,,,,,,,,,,,,,*,*,*,Camera
10989,Moccas Park,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
15810,Moine Mhor,,,,,,,,,,,,,7622,,,,,,,,,,,7622,https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
15810,Moine Mhor,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
10990,Monks Wood,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
135478,Montrose Basin,,,,,,,,,,,,,10980,,,,,,,,,,,10980,https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
135478,Montrose Basin,,,,,,,,,,,,,,,,,,11209,12586,,,,,11898,https://www.visitscotland.org/binaries/content/assets/dot-org/pdf/research-papers-2/wildlife-topic-paper-2017.pdf,
1454,Moor House - Upper Teesdale,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
10991,Morden Bog,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11091,Morfa Dyffryn,,,,,,,,,,,,,,,,200000,,,,,,,,200000,"Hellawell, T., (NRW), pers. comm., (2019)",
3232,Morfa Harlech,,,,,,,,,,,,,,,,120000,,,,,,,,120000,"Hellawell, T., (NRW), pers. comm., (2019)",
10992,Mottey Meadows,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
142785,Muckle Moss,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
139853,Mugdock Wood,,,,,,,,,,,,,585132,,,,,,,,,,,585132,https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
1488,Muir of Dinnet,,,,,,,,,,,,,25000,,,,,,,,,,,25000,https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
1488,Muir of Dinnet,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
137992,Nagshead,13000,13860,12594,2800,,,18000,18000,18000,,,,,,,,,,,,,,,13751,"Burton, G., pers. comm. In Balmford et al., (2015)",Camera
555581042,Nene Washes,548,730,,255,703,,,,,,,,,,,,,,,,,,,559,"Burton, G., pers. comm. In Balmford et al., (2015)",
137724,Nene Washes (Whittlesey),548,730,,255,703,,,,,,,,,,,,,,,,,,,559,"Burton, G., pers. comm. In Balmford et al., (2015)",
139609,Newborough Warren - Ynys Llanddwyn,,,,,,,,,,,,,,,,250000,,,,,,,,250000,"Hellawell, T., (NRW), pers. comm., (2019)",
4483,Newborough Warren and Ynys Llanddwyn,,,,,,,,,,,,,,,,250000,,,,,,,,250000,"Hellawell, T., (NRW), pers. comm., (2019)",
555595739,Newport Wetlands,,,,,,,,,,,,,,,,94392,,,,,,,,94392,"Hellawell, T., (NRW), pers. comm., (2019)",
10994,"North Meadow, Cricklade",,,,,,,,,,,,,,,,,,*,,,,,,*,*,
10995,North Solent,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
142789,North Walney,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
