B.L..Scientific.name,order.Birdlife,family_name.Birdlife,Birdlife.Common.name.x,Colour.richness,BCI,Distinct.patterning,Unusual.appendages,Unusual.adornments,IUCNstatus,Extinction.risk,migration,tp,tl,habitat_1,colonial,log.mass,Africa.log.Range,ED_score,Sources
Halcyon chelicuti,CORACIIFORMES,Alcedinidae,Striped Kingfisher,5,0.041666667,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,1.648360011,7.117193056,6.624328,2
Anthus lineiventris,PASSERIFORMES,Motacillidae,Striped Pipit,6,0.019230769,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.544068044,6.18962192,5.497576,3
Poeoptera stuhlmanni,PASSERIFORMES,Sturnidae,Stuhlmann's Starling,4,0.078947368,0,0,0,LC,5,1,Diurnal,Herbivore,Forest,Not colonial,1.596597096,5.243672507,5.169709,3
Sylvia cantillans,PASSERIFORMES,Sylviidae,Subalpine Warbler,4,0.022727273,1,0,0,LC,5,4,Diurnal,Carnivore,Shrubland,Not colonial,0.982271233,6.603099435,5.235684,1
Passer luteus,PASSERIFORMES,Passeridae,Sudan Golden Sparrow,7,0.027777778,1,0,0,LC,5,3,Diurnal,Herbivore,Shrubland,Colonial,1.113107367,6.456336717,5.251247,4
Galerida modesta,PASSERIFORMES,Alaudidae,Sun Lark,5,0,1,0,0,LC,5,1,Diurnal,Omnivore,Open vegetation,Not colonial,1.305351386,6.511796154,4.843975,1
Lamprotornis superbus,PASSERIFORMES,Sturnidae,Superb Starling,8,0.064102564,1,0,0,LC,5,1,Diurnal,Carnivore,Artificial,Not colonial,1.812244697,6.319132051,6.568342,6
Cinnyris superbus,PASSERIFORMES,Nectariniidae,Superb Sunbird,8,0.071428571,1,1,0,LC,5,1,Diurnal,Omnivore,Aquatic,Not colonial,1.225309262,6.458059058,6.926292,1
Passer suahelicus,PASSERIFORMES,Passeridae,Swahili Sparrow,5,0.020833333,1,0,0,LC,5,1,Diurnal,Herbivore,Shrubland,Colonial,1.407789802,5.451266882,5.335263,1
Pternistis swainsonii,GALLIFORMES,Phasianidae,Swainson's Francolin,2,0.027777778,1,0,1,LC,5,1,Diurnal,Herbivore,Open vegetation,Not colonial,2.782114147,6.190258489,3.724764,2
Passer swainsonii,PASSERIFORMES,Passeridae,Swainson's Sparrow,4,0.020833333,1,0,0,LC,5,1,Diurnal,Herbivore,Artificial,Not colonial,1.499687083,5.860996362,5.339075,1
Merops hirundineus,CORACIIFORMES,Meropidae,Swallow-tailed Bee-eater,8,0.046875,1,0,0,LC,5,3,Diurnal,Carnivore,Open vegetation,Not colonial,1.336459749,6.931387168,9.170103,7
Laniarius bicolor,PASSERIFORMES,Malaconotidae,Swamp Boubou,2,0,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.738384124,5.662147193,6.451875,2
