Order,Family,Scientific,Common,log.Range,bccstatus,bcc,Colour.richness,BCI,Distinct.patterning,Unusual.appendages,Unusual.adornments,status,Extinction.risk,migratory type,migration,tp,tl,ED_score,habitat_1,colonial,log.mass,Sources
CORACIIFORMES,Alcedinidae,Alcedo atthis,Kingfisher,3.271609301,Amber,2,5,0.0625,1,1,0,LC,5,Full Migrant,4,Diurnal,Carnivore,7.660836,Aquatic,Not colonial,1.436787679,8
CHARADRIIFORMES,Alcidae,Alle alle,Little Auk,2.631443769,Green,3,3,0,0,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,10.807669,Aquatic,Colonial,2.258477645,4
ANSERIFORMES,Anatidae,Anas acuta,Pintail,2.996949248,Amber,2,5,0.03125,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,2.166222,Aquatic,Not colonial,2.976120618,6
ANSERIFORMES,Anatidae,Anas crecca,Teal,3.407220893,Amber,2,8,0.03125,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,3.064888,Aquatic,Not colonial,2.536347978,7
ANSERIFORMES,Anatidae,Anas platyrhynchos,Mallard,3.44294987,Amber,2,6,0.0625,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,1.180631,Artificial,Not colonial,3.02820512,6
ANSERIFORMES,Anatidae,Anser albifrons,White-fronted Goose,2.854913022,Red,1,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,2.883538,Aquatic,Colonial,3.403249246,6
ANSERIFORMES,Anatidae,Anser anser,Greylag Goose,3.337658891,Amber,2,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,2.315209,Aquatic,Colonial,3.519631139,6
ANSERIFORMES,Anatidae,Anser brachyrhynchus,Pink-footed Goose,3.063333359,Amber,2,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,2.515331,Artificial,Colonial,3.422425676,6
ANSERIFORMES,Anatidae,Anser fabalis,Taiga Bean Goose,2.421603927,Amber,2,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,2.769005,Artificial,Colonial,3.442597342,6
PASSERIFORMES,Motacillidae,Anthus petrosus,Rock Pipit,3.025715384,Green,3,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,3.817173,Bare,Not colonial,1.350248018,6
PASSERIFORMES,Motacillidae,Anthus pratensis,Meadow Pipit,3.450710878,Amber,2,7,0,1,0,0,NT,4,Full Migrant,4,Diurnal,Carnivore,4.860394,Aquatic,Not colonial,1.264817823,7
PASSERIFORMES,Motacillidae,Anthus spinoletta,Water Pipit,2.534026106,Amber,2,7,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,3.805327,Open vegetation,Not colonial,1.378397901,4
PASSERIFORMES,Motacillidae,Anthus trivialis,Tree Pipit,3.314499228,Red,1,6,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,6.001927,Forest,Not colonial,1.369215857,8
CAPRIMULGIFORMES,Apodidae,Apus apus,Swift,3.375846436,Amber,2,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,6.724703,Bare,Colonial,1.575187845,6
ACCIPITRIFORMES,Accipitridae,Aquila chrysaetos,Golden Eagle,2.748962861,Green,3,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,8.236421,Open vegetation,Not colonial,3.629766267,8
PELECANIFORMES,Ardeidae,Ardea cinerea,Grey Heron,3.436957331,Green,3,3,0,1,1,0,LC,5,Full Migrant,4,Diurnal,Carnivore,6.377957,Artificial,Colonial,3.159266331,7
PROCELLARIIFORMES,Procellariidae,Ardenna grisea,Sooty Shearwater,1.748188027,Green,3,4,0,1,0,0,NT,4,Full Migrant,4,Nocturnal,Carnivore,8.23263,Aquatic,Colonial,2.895974732,7
CHARADRIIFORMES,Scolopacidae,Arenaria interpres,Turnstone,2.930949031,Amber,2,3,0.015625,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,17.773574,Open vegetation,Not colonial,2.133538908,6
STRIGIFORMES,Strigidae,Asio flammeus,Short-eared Owl,3.261738547,Amber,2,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,9.279068,Open vegetation,Not colonial,2.511883361,6
STRIGIFORMES,Strigidae,Asio otus,Long-eared Owl,3.11991541,Green,3,4,0,1,0,0,LC,5,Full Migrant,4,Nocturnal,Carnivore,8.979268,Forest,Not colonial,2.475671188,8
ANSERIFORMES,Anatidae,Aythya ferina,Pochard,3.229681842,Red,1,4,0,1,0,0,VU,3,Full Migrant,4,Diurnal,Herbivore,1.860352,Aquatic,Not colonial,2.915399835,6
ANSERIFORMES,Anatidae,Aythya fuligula,Tufted Duck,3.345765693,Green,3,4,0.0625,0,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,2.15624,Aquatic,Not colonial,2.846027675,6
ANSERIFORMES,Anatidae,Aythya marila,Scaup,2.886490725,Red,1,4,0.03125,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,1.840623,Aquatic,Colonial,3.002813779,6
PASSERIFORMES,Bombycillidae,Bombycilla garrulus,Waxwing,3.221153322,Green,3,6,0.015625,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,16.003378,Forest,Not colonial,1.734726379,6
PELECANIFORMES,Ardeidae,Botaurus stellaris,Bittern,2.753583059,Amber,2,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,16.020887,Aquatic,Not colonial,3.122051963,7
ANSERIFORMES,Anatidae,Branta bernicla,Brent Goose,2.802773725,Amber,2,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,6.258547,Open vegetation,Colonial,3.106955426,6
ANSERIFORMES,Anatidae,Branta leucopsis,Barnacle Goose,2.980911938,Amber,2,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,3.286736,Open vegetation,Colonial,3.227115083,6
ANSERIFORMES,Anatidae,Bucephala clangula,Goldeneye,3.291146762,Amber,2,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,4.030139,Forest,Not colonial,2.972434277,7
CHARADRIIFORMES,Burhinidae,Burhinus oedicnemus,Stone-curlew,2.071882007,Amber,2,3,0,1,0,0,LC,5,Full Migrant,4,Nocturnal,Omnivore,16.005374,Open vegetation,Not colonial,2.661812686,7
ACCIPITRIFORMES,Accipitridae,Buteo buteo,Buzzard,3.430719888,Green,3,2,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,1.868782,Forest,Not colonial,2.889861721,7
PASSERIFORMES,Calcariidae,Calcarius lapponicus,Lapland Bunting,2.472756449,Amber,2,6,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,15.540805,Open vegetation,Colonial,1.4448252,6
CHARADRIIFORMES,Scolopacidae,Calidris alba,Sanderling,2.652246341,Amber,2,6,0.03125,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,10.011243,Open vegetation,Not colonial,1.755874856,6
CHARADRIIFORMES,Scolopacidae,Calidris alpina,Dunlin,3.196176185,Amber,2,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,11.391194,Aquatic,Not colonial,1.717878449,7
