Order.IUCN,Scientific.name,Common.name.IUCN,ED_score,IUCNstatus,Extinction.risk,habitat_1,tl,social,Colour.richness,Distinct.patterning,Unusual.appendages,Unusual.adornments,tp,Africa.log.Range,log.mass,Sources
CARNIVORA,Genetta piscivora,Aquatic Genet,15.55345159,NT,4,Forest,Carnivore,Solitary,7,1,1,0,Nocturnal,5.349474631,0.216970384,1
CARNIVORA,Genetta servalina,Servaline Genet,8.26081916,LC,5,Forest,Carnivore,Solitary,7,1,1,0,Nocturnal,6.405697837,0.07034823,2
CARNIVORA,Genetta thierryi,"Hausa Genet, Haussa Genet",7.309741791,LC,5,Mosaic,Carnivore,Solitary,7,1,1,0,Nocturnal,6.412151753,0.146128036,1
CARNIVORA,Genetta tigrina,"South African Large-spotted Genet, Large-spotted Genet, Cape Large-spotted Genet, Blotched Genet",9.07007983,LC,5,Forest,Carnivore,Solitary,6,1,1,0,Nocturnal,5.299461556,0.31525012,7
CARNIVORA,Genetta victoriae,Giant Genet,10.45203944,LC,5,Forest,Carnivore,Solitary,7,1,1,0,Nocturnal,5.7347257,0.438335041,1
CETARTIODACTYLA,Giraffa camelopardalis,Giraffe,17.12253536,VU,3,Mosaic,Herbivore,Solitary,7,1,1,1,Crepuscular,6.258723443,2.984371898,25
PRIMATES,Gorilla beringei,"Eastern Gorilla, Mountain Gorilla",11.21914344,CR,1,Forest,Herbivore,Group living,3,1,0,0,Diurnal,4.676138694,2.174133076,28
PRIMATES,Gorilla gorilla,"Western Gorilla, Lowland Gorilla",11.21914344,CR,1,Forest,Herbivore,Group living,4,1,0,0,Diurnal,5.84279937,2.051495923,11
CARNIVORA,Helogale parvula,"Common Dwarf Mongoose, Dwarf Mongoose",10.41237194,LC,5,Forest,Carnivore,Group living,4,1,0,0,Diurnal,6.70894855,-0.550012779,5
CARNIVORA,Herpestes flavescens,"Kaokoveld Slender Mongoose, Black Slender Mongoose, Angolan Slender Mongoose",14.01446185,LC,5,Open Vegetation,Omnivore,Solitary,2,1,1,0,Diurnal,5.338485087,-0.124938736,1
CARNIVORA,Herpestes ichneumon,"Eyptian Mongoose, Large Grey Mongoose, Ichneumon, Egyptian Mongoose",10.37181805,LC,5,Forest,Omnivore,Solitary,2,1,1,0,Diurnal,7.123279066,0.474219179,3
CARNIVORA,Herpestes pulverulentus,"Cape Grey Mongoose, Small Grey Mongoose",14.12016812,LC,5,Open Vegetation,Carnivore,Solitary,2,1,1,0,Diurnal,5.87952887,-0.101603954,3
CARNIVORA,Herpestes sanguineus,Slender Mongoose,12.29961397,LC,5,Forest,Carnivore,Solitary,3,1,1,0,Diurnal,7.202726379,-0.264536839,4
HYRACOIDEA,Heterohyrax brucei,"Yellow-spotted Hyrax, Bush Hyrax, Hoggar Hyrax, Yellow-spotted Rock Hyrax",30.26342649,LC,5,Mosaic,Herbivore,Group living,6,1,0,0,Diurnal,6.771440234,0.389814383,5
CETARTIODACTYLA,Hippopotamus amphibius,"Hippopotamus, Large Hippo, Common Hippopotamus",33.17906211,VU,3,Forest,Herbivore,Group living,2,0,0,0,Nocturnal,6.273048655,3.186478971,27
CETARTIODACTYLA,Hippotragus equinus,Roan Antelope,8.704238659,LC,5,Mosaic,Herbivore,Group living,6,0,0,1,Diurnal,6.745940829,2.421890007,18
CETARTIODACTYLA,Hippotragus niger,"Sable Antelope, Giant Sable Antelope",8.704238659,LC,5,Forest,Herbivore,Group living,5,0,0,1,Cathemeral,6.36888067,2.373658311,19
CARNIVORA,Hyaena hyaena,Striped Hyaena,20.52750819,NT,4,Bare,Omnivore,Solitary,4,1,0,0,Nocturnal,7.157394422,1.544942081,11
CARNIVORA,Hydrictis maculicollis,"Spotted-necked Otter, Speckle-throated Otter, Spot-necked Otter",7.141110391,NT,4,Forest,Carnivore,Solitary,4,1,1,0,Diurnal,6.90913435,0.621231344,6
CETARTIODACTYLA,Hyemoschus aquaticus,Water Chevrotain,17.75104403,LC,5,Forest,Herbivore,Solitary,6,1,0,0,Nocturnal,6.323385604,1.035429738,5
